Emissor;CNPJ Emissor;Codigo Produto;Descricao Produto;Unidade;Quantidade;Valor Unitario;Valor Total;data_emissao_nota
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;721-498;FIO ESMALTADO 20 AWG;KG;22;86,496633;1926.28;22/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;721-498;FIO ESMALTADO 20 AWG;KG;25;87,345513;2199.36;04/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;721-498;FIO ESMALTADO 20 AWG;KG;22;83,903312;1900.41;23/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;121-690;FIO ESMALTADO 21 AWG;KG;22;84,968033;1887.14;27/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;232-342;FIO ESMALTADO 23 AWG;KG;16;84,944786;1384.6;23/07/2025
TECTAPE PAULISTA INDUSTRIA E COMERCIO DE FITAS E PLASTICOS L;44.316.381/8153-81;465-921;FITA ADESIVA AMARELA 12MMX66M;RL;48;28,491042;1367.57;30/06/2025
AVELINO BUENO DA SILVA;35.393.621/2165-43;92-652;FITA CREPE 24MM X 45M;RL;72;5,05;363.6;28/07/2025
AVELINO BUENO DA SILVA;35.393.621/2165-43;335-490;FITA CREPE MULTIUSO 24MM X 45M;RL;72;5,05;363.6;24/06/2025
AVELINO BUENO DA SILVA;35.393.621/2165-43;951-337;FITA DE ARQUEAR;RL;1;280;280;14/05/2025
AVELINO BUENO DA SILVA;35.393.621/2165-43;241-51;FITA DE ARQUEAR BRANCA 10MM X 0,65MM;RL;1;280;280;14/07/2025
AVELINO BUENO DA SILVA;35.393.621/2165-43;486-435;FITA HM TRANSPARENTE 45MM X 100M;RL;80;9,8;784;24/06/2025
AVELINO BUENO DA SILVA;35.393.621/2165-43;242-348;FITA PP TRANSPARENTE 18MM X 100M;RL;208;4,32;898.56;28/07/2025
AVELINO BUENO DA SILVA;35.393.621/2165-43;34-354;FITA TRANSPARENTE 45MMX100M;RL;80;9,8;784;14/05/2025
MARTA VALERIA CANELADA MAGANHA 06942545848;78.174.379/3596-18;749-257;ISOLANTE CARCAÃ‡A MODELO HONDA;PC;2000;3,81111;7622.22;17/07/2025
MARTA VALERIA CANELADA MAGANHA 06942545848;78.174.379/3596-18;515-651;ISOLANTE CARCAÃ‡A MODELO VALEO;PC;2000;5,5258;11051.6;17/07/2025
CLAMOL INDUSTRIA E COMERCIO DE MOLDES LTDA.;64.832.634/6578-59;698-948;ISOLANTE DE SAIDA DA BOB PARTIDA BOSCH S-10;PC;1000;0,72;720;03/06/2025
CLAMOL INDUSTRIA E COMERCIO DE MOLDES LTDA.;64.832.634/6578-59;481-434;ISOLANTE PART SAIDA BOBINA DELCO 28 29MT 42;PC;2000;0,75;1500;03/06/2025
CESAR MANÃ;28.392.741/6855-19;260-431;JATEAMENTO DE BOBINA ;PC;3;1,5;4.5;14/07/2025
CESAR MANÃ;68.432.338/3829-54;427-760;JATEAMENTO DE SAPATA;PC;560;0,37;207.2;14/07/2025
ADCORTE INDUSTRIA E COMERCIO LTDA;98.991.815/4461-54;211-845;MÃO DE OBRA CORTE FIBRA;KG;249;21;5229;15/07/2025
USITEK (RONDINELI);98.643.198/6966-44;211-837;MÃO DE OBRA TUBO CARCAÇA;PC;72;25;1800;14/07/2025
USITEK (RONDINELI);98.643.198/6966-44;59-154;MÃO DE OBRA TUBO CARCAÇA VOLARE;PC;20;30;600;16/07/2025
USITEK (RONDINELI);98.643.198/6966-44;551-144;MÃO DE OBRA USINAGEM PARAFUSO 50MT;PC;60;7;420;11/07/2025
USITEK (RONDINELI);98.643.198/6966-44;7-146;MÃO DE OBRA USINAGEM PARAFUSO JE;PC;134;7;938;17/07/2025
ANELK COMERCIO DE PAPEIS E PLASTICOS INDUSTRIAIS L;24.256.724/1236-65;531-404;PAPEL KRAFT 0,20MMX1000MM;KG;52;30;1560;05/06/2025
ANELK COMERCIO DE PAPEIS E PLASTICOS INDUSTRIAIS L;24.256.724/1236-65;636-191;PAPEL KRAFT 0,30MMX1000MM;KG;299;30;8970;06/06/2025
NEI SOLUCOES COMERCIAIS LTDA;66.832.468/9799-97;90-642;PARAFUSO ALLEN C/ CHATA 8X12;PC;55;3;165;15/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;931-4;PARAFUSO BOBINA CAMPO 50MT;PC;50;23,2;1160;20/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;147-52;PARAFUSO DO JE;PC;50;16,8;840;14/07/2025
BIKE FIX -INDUSTRIA E COMERCIO DE PARAFUSOS LTDA ;67.739.482/7199-63;501-266;PARAFUSO M10X12MM CAB. OVAL TORK T 40;PC;500;0,285;142.6;12/05/2025
BIKE FIX -INDUSTRIA E COMERCIO DE PARAFUSOS LTDA ;67.739.482/7199-63;906-168;PARAFUSO M10X14MM CAB. CHATA TORX ROSCA 1,25;PC;500;0,357;178.5;12/05/2025
BIKE FIX -INDUSTRIA E COMERCIO DE PARAFUSOS LTDA ;67.739.482/7199-63;903-598;PARAFUSO M10X14MM CAB. CHATA TORX ROSCA 1,5;PC;3000;0,357;1071;18/06/2025
BIKE FIX -INDUSTRIA E COMERCIO DE PARAFUSOS LTDA ;67.739.482/7199-63;903-598;PARAFUSO M10X14MM CAB. CHATA TORX ROSCA 1,5;PC;3000;0,357;1071;14/07/2025
BIKE FIX -INDUSTRIA E COMERCIO DE PARAFUSOS LTDA ;67.739.482/7199-63;903-598;PARAFUSO M10X14MM CAB. CHATA TORX ROSCA 1,5;PC;6000;0,357;2142;26/05/2025
BIKE FIX -INDUSTRIA E COMERCIO DE PARAFUSOS LTDA ;67.739.482/7199-63;756-883;PARAFUSO M10X16MM CAB. CHATA TORX ROSCA 1,5;PC;500;0,383;191.7;12/05/2025
BIKE FIX -INDUSTRIA E COMERCIO DE PARAFUSOS LTDA ;67.739.482/7199-63;756-883;PARAFUSO M10X16MM CAB. CHATA TORX ROSCA 1,5;PC;3000;0,3834;1150.2;18/06/2025
BIKE FIX -INDUSTRIA E COMERCIO DE PARAFUSOS LTDA ;67.739.482/7199-63;756-883;PARAFUSO M10X16MM CAB. CHATA TORX ROSCA 1,5;PC;1000;0,3838;383.4;02/07/2025
BIKE FIX -INDUSTRIA E COMERCIO DE PARAFUSOS LTDA ;67.739.482/7199-63;756-883;PARAFUSO M10X16MM CAB. CHATA TORX ROSCA 1,5;PC;3000;0,3842;1150.2;14/07/2025
BIKE FIX -INDUSTRIA E COMERCIO DE PARAFUSOS LTDA ;67.739.482/7199-63;756-883;PARAFUSO M10X16MM CAB. CHATA TORX ROSCA 1,5;PC;2000;0,3846;766.8;26/05/2025
BIKE FIX -INDUSTRIA E COMERCIO DE PARAFUSOS LTDA ;67.739.482/7199-63;747-388;PARAFUSO M10X16MM CAB. OVAL TORK;PC;500;0,306;153.4;12/05/2025
BIKE FIX -INDUSTRIA E COMERCIO DE PARAFUSOS LTDA ;67.739.482/7199-63;358-926;PARAFUSO M10X19MM CAB. CHATA TORX ROSCA 1,5;PC;1000;0,437;437.4;14/07/2025
BIKE FIX -INDUSTRIA E COMERCIO DE PARAFUSOS LTDA ;67.739.482/7199-63;666-416;PARAFUSO M8X19MM CAB. CHATA TORX ROSCA 1,5;PC;500;0,437;218.7;12/05/2025
ERLIN J. DE SOUZA;54.294.551/2137-12;461-245;PLUG DE LATÃƒO 28/29MT;PC;1200;6,8;8160;27/05/2025
MARTA VALERIA CANELADA MAGANHA 06942545848;78.174.379/3596-18;916-496;PORTA ESCOVAS - A-227 ;PC;100;5,3972;539.72;17/07/2025
USITEK (RONDINELI);98.643.198/6966-44;429-283;SERVIÃ‡O DE USINAGEM CARCAÃ‡A;PC;64;5;320;27/06/2025
USITEK (RONDINELI);98.643.198/6966-44;429-283;SERVIÃ‡O DE USINAGEM CARCAÃ‡A;PC;93;5;465;11/07/2025
USITEK (RONDINELI);98.643.198/6966-44;429-283;SERVIÃ‡O DE USINAGEM CARCAÃ‡A;PC;22;5;110;17/07/2025
USITEK (RONDINELI);98.643.198/6966-44;429-283;SERVIÃ‡O DE USINAGEM CARCAÃ‡A;PC;59;5;295;18/07/2025
USITEK (RONDINELI);98.643.198/6966-44;429-283;SERVIÃ‡O DE USINAGEM CARCAÃ‡A;PC;50;5;250;30/07/2025
USITEK (RONDINELI);98.643.198/6966-44;429-283;SERVIÃ‡O DE USINAGEM CARCAÃ‡A;PC;45;5;225;21/07/2025
SOFT METAIS LTDA;42.223.361/3437-47;795-161;SOLDA ESTANHO 25X75 1,5 - 500G;UN;10;44,23;442.3;14/05/2025
JULIANA DE SOUZA LTDA;14.556.955/9963-77;170-855;SOLDA PHOSCOPER 1,60X460MM;KG;30;115;3450;19/05/2025
JULIANA DE SOUZA LTDA;14.556.955/9963-77;170-855;SOLDA PHOSCOPER 1,60X460MM;KG;30;115;3450;04/07/2025
FACOBRAS INDUSTRIA E COMERCIO LTDA;22.822.651/6944-78;858-434;TERMINAL BANDEIRA 6,3;PC;3000;0,1752;525.6;24/06/2025
FACOBRAS INDUSTRIA E COMERCIO LTDA;22.822.651/6944-78;936-217;TERMINAL FEMEA 6,3X0,8;PC;5000;0,1141;570.5;24/06/2025
FACOBRAS INDUSTRIA E COMERCIO LTDA;22.822.651/6944-78;11-206;TERMINAL OLHAL 3/16;PC;5000;0,1263;631.5;24/06/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;63-168;VERNIZ ASA 952 AMARELO - 18L;UN;4;780;3120;04/06/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;63-168;VERNIZ ASA 952 AMARELO - 18L;UN;4;780;3120;24/06/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;63-168;VERNIZ ASA 952 AMARELO - 18L;UN;4;780;3120;17/07/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;63-168;VERNIZ ASA 952 AMARELO - 18L;UN;4;780;3120;12/05/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;858-287;VERNIZ ASA 952 INCOLOR - 18L;UN;4;770;3080;04/06/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;858-287;VERNIZ ASA 952 INCOLOR - 18L;UN;4;770;3080;24/06/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;858-287;VERNIZ ASA 952 INCOLOR - 18L;UN;1;770;770;17/07/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;858-287;VERNIZ ASA 952 INCOLOR - 18L;UN;3;770;2310;12/05/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;543-285;VERNIZ ASA 952 LARANJA - 18L;UN;4;780;3120;24/06/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;543-285;VERNIZ ASA 952 LARANJA - 18L;UN;1;780;780;17/07/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;543-285;VERNIZ ASA 952 LARANJA - 18L;UN;3;780;2340;12/05/2025
FELIPE N. PERTINHEZ - DISTRIBUIDORA GUAXI LTDA;44.494.484/8134-64;939-409;A-131-12V - HD106A-4 - 300,00 PC;PC;300;20,8038;6241.14;24/03/2025
FELIPE N. PERTINHEZ - DISTRIBUIDORA GUAXI LTDA;44.494.484/8134-64;596-138;A-192-24V - HD246E-4 - 600,00 PC;PC;600;17,3525;10411.48;24/03/2025
FELIPE N. PERTINHEZ - DISTRIBUIDORA GUAXI LTDA;44.494.484/8134-64;752-480;A-165-24V - HD261A-4 - inf PC;PC;600;2,3584;14150.41;24/03/2025
FELIPE N. PERTINHEZ - DISTRIBUIDORA GUAXI LTDA;44.494.484/8134-64;490-59;A-162-12V - HD287A-4 - 200,00 PC;PC;200;24,1593;4831.85;24/03/2025
FELIPE N. PERTINHEZ - DISTRIBUIDORA GUAXI LTDA;44.494.484/8134-64;123-463;A-257-24V - HD332C-4 - AXOR;PC;200;24,1593;4831.85;24/03/2025
FELIPE N. PERTINHEZ - DISTRIBUIDORA GUAXI LTDA;44.494.484/8134-64;763-764;A-187-24V - HD333A-4 - 300,00 PC;PC;300;20,1327;6039.81;24/03/2025
FELIPE N. PERTINHEZ - DISTRIBUIDORA GUAXI LTDA;44.494.484/8134-64;576-348;A-235-24V - HD384B-4;PC;600;22,0501;13230.06;24/03/2025
FELIPE N. PERTINHEZ - DISTRIBUIDORA GUAXI LTDA;44.494.484/8134-64;882-737;A-005-24V - HD384C-4 - 600,00 PC;PC;600;22,4336;13460.15;24/03/2025
FELIPE N. PERTINHEZ - DISTRIBUIDORA GUAXI LTDA;44.494.484/8134-64;378-598;MCM1166 -CAVEIRA KB NOVA - A166 - HD416A - inf PC;PC;600;5,7522;34513.2;24/03/2025
FELIPE N. PERTINHEZ - DISTRIBUIDORA GUAXI LTDA;44.494.484/8134-64;58-688;A-171-12V - HD296A - inf PC;PC;600;15,4351;9261.04;24/03/2025
FELIPE N. PERTINHEZ - DISTRIBUIDORA GUAXI LTDA;44.494.484/8134-64;204-272;A-149-12V - HD311K - 200,00 PC;PC;200;17,2566;3451.32;24/03/2025
FELIPE N. PERTINHEZ - DISTRIBUIDORA GUAXI LTDA;44.494.484/8134-64;362-176;A-164-12V - HD287C - 200,00 PC;PC;200;20,1327;4026.54;24/03/2025
FELIPE N. PERTINHEZ - DISTRIBUIDORA GUAXI LTDA;44.494.484/8134-64;800-378;A-239-12V - HD261D - 200,00 PC;PC;200;23,9675;4793.5;24/03/2025
ANELK COMERCIO DE PAPEIS E PLASTICOS INDUSTRIAIS L;24.256.724/1236-65;636-191;PAPEL KRAFT 0,30MMX1000MM;KG;299;30;8970;06/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;283-921;FIO 2.0X7.0 CANTO QUADRADO;KG;306.5;73;22374.5;13/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;780-632;FIO 1.5X7.0 CANTO QUADRADO;KG;52;73;3796;13/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;15-479;FIO 1.0X5.0 CANTO QUADRADO - inf KG;KG;56.5;73;4124.5;13/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;567-868;FIO 2.0X4.5 CANTO QUADRADO;KG;99.5;73;7263.5;13/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;188-951;FIO 2.0X8.5 CANTO QUADRADO;KG;102.5;73;7482.5;13/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;167-752;FIO 1.5X6.0 CANTO QUADRADO;KG;103.5;73;7555.5;13/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;726-443;FIO 2.0X6.0 CANTO QUADRADO;KG;52.5;73;3832.5;13/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;639-407;FIO 2.0X5,2 CANTO QUADRADO - inf KG;KG;50;73;3650;13/06/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;873-21;VERNIZ ASA 952 INCOLOR;LT;4;770;3080;24/06/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;856-820;VERNIZ NASA AM -VERNIZ ASA 952 AMARELO;LT;4;780;3120;24/06/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;64-275;VERNIZ ASA 952 LARANJA;LT;4;780;3120;24/06/2025
TECTAPE PAULISTA INDUSTRIA E COMERCIO DE FITAS E PLASTICOS L;44.316.381/8153-81;465-921;FITA ADESIVA AMARELA 12MMX66M;RL;48;2,8491;1367.57;30/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;77-232;ESCOVAS BX-123;JG;500;4,1589;2079.43;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;413-727;ESC PASSAT -ESCOVA PASSAT - 2.70.0000;PC;3000;0,8243;2472.9;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;68-51;ESC PKS -ESC PERKINS - 213/13 POSITIVA PE;PC;300;9,8341;2950.24;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;639-598;ESCOVAS A GRANEL FJS-189-12V PE S-10;PC;500;1,567;783.52;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;418-181;ESCOVA ISKRA 12V IKS 96 12V PE;PC;200;5,6956;1139.11;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;318-866;ESCOVA ISKRA 24V IKS 96 24V PE;PC;200;4,9724;994.47;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;852-785;ESCOVA PALIO JS -36 PE;PC;500;1,4365;718.23;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;244-796;ESCOVA 38MT 24V;PC;400;4,4198;1767.93;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;633-846;ESCOVA SP VALEO PS-144 POSITIVA PE;PC;200;2,9935;598.69;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;556-113;PORTA ESCOVA 32C 24V FJS-002 24V;PC;500;4,8719;2435.93;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;679-216;ESCOVAS FNSX-173/174-12V;JG;400;3,9678;1587.13;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;917-624;ESCOVA MITS 101 BS- 149 PE - inf PC;PC;200;1,2054;241.07;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;760-121;ESCOVA 29MT 24V D-153 24V;PC;3000;3,1737;9521.1;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;312-83;ESCOVAS FNSX-175/176-24V;JG;200;3,0672;613.44;25/06/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;395-149;ESCOVA DENSO MÉDIA FTS 140;PC;500;1,2225;611.26;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;558-128;ESCOVA MINI ISKRA IKS 952;PC;1000;2,5161;2516.06;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;789-335;ESCOVA BX-220;JG;200;1,2035;240.69;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;117-280;ESCOVA JX 42;PC;200;1,3632;272.64;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;469-125;ESCOVA SVX-9 -12V - inf PC;JG;2000;1,1502;2300.4;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;414-136;ESCOVA PRESTOLITE 12V PGM 100 R-12V;PC;500;12,1666;6083.28;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;650-460;ESCOVA PRESTOLITE 24V - PM 100R 24V;PC;300;11,0548;3316.44;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;574-702;ESCOVA SP LUCAS JS 32/A - 12V;PC;1000;8,1395;8139.48;17/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;283-921;FIO 2.0X7.0 CANTO QUADRADO;KG;439.5;73;32083.5;16/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;726-443;FIO 2.0X6.0 CANTO QUADRADO;KG;99.5;73;7263.5;16/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;167-752;FIO 1.5X6.0 CANTO QUADRADO;KG;105.5;73;7701.5;16/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;780-632;FIO 1.5X7.0 CANTO QUADRADO;KG;105.5;73;7701.5;16/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;188-951;FIO 2.0X8.5 CANTO QUADRADO;KG;105;73;7665;16/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;567-868;FIO 2.0X4.5 CANTO QUADRADO;KG;199;73;14527;16/07/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;46-523;FIO RETANGULAR 1,80MM X 6,80MM;KG;102.9;72,5;7460.25;23/07/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;619-309;FIO 1.5X4.0 CANTO QUADRADO;KG;101.6;72,5;7366;23/07/2025
DENVER INDUSTRIA E COMERCIO DE PRODUTOS;42.295.564/2249-97;685-447;ADESIVO PVA DAS 403 BAR50KG;KG;300;11,5;3450;22/07/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;265-821;ASA 952 I;LATA;1;770;770;17/07/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;545-504;ASA 952 L;LATA;1;780;780;17/07/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;14-300;ASA 952 A;LATA;4;780;3120;17/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;652-648;FIO DE COBRE NU INDUZIDO 2,00 X 7,00 MM;KG;439.5;73;32083.5;17/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;648-164;FIO DE COBRE NU INDUZIDO 2,00 X 6,00 MM;KG;99.5;73;7263.5;17/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;9-483;FIO DE COBRE NU INDUZIDO 1,50 X 6,00 MM;KG;105.5;73;7701.5;17/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;460-710;FIO DE COBRE NU INDUZIDO 1,50 X 7,00 MM;KG;105.5;73;7701.5;17/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;510-914;FIO DE COBRE NU INDUZIDO 2,00 X 8,50 MM;KG;105;73;7665;17/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;578-599;FIO DE COBRE NU INDUZIDO 2,00 X 4,50 MM;KG;199;73;14527;17/07/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;265-821;ASA 952 I;LATA;1;770;770;17/07/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;545-504;ASA 952 L;LATA;1;780;780;17/07/2025
NASA ISOLANTES ELETRICOS LTDA;48.342.395/5352-52;14-300;ASA 952 A;LATA;4;780;3120;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA.;19.331.312/3438-35;746-402;D 153 - (12V) ESCOVA DE METALGRAFITE.;PC;1000;2,2814;2281.4;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA.;19.331.312/3438-35;479-636;D 153 A - (24V)  ESCOVA DE METALGRAFITE.;PC;1000;2,6684;2668.4;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA.;19.331.312/3438-35;666-523;JX 42 - 12/24V ESCOVA METALGRAFITE;JG;200;1,28;256;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA.;19.331.312/3438-35;111-410;SVX 9 - 12V  ESCOVA METALGRAFITE;JG;1000;1,08;1080;17/07/2025
